Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
07/21/2020,"16,831","691,059","32,482","67,594","33,213","2,725","1,241,819"
07/22/2020,"17,582","683,364","33,863","65,348","32,485","2,716","1,233,668"
07/23/2020,"17,056","688,709","33,999","65,637","32,975","2,632","1,233,795"
07/24/2020,"17,311","719,421","29,987","65,889","36,639","2,511","1,218,138"
07/25/2020,"10,350","671,119","14,777","43,340","25,173",799,"816,604"
07/26/2020,"7,429","609,707","9,711","36,164","20,170",542,"606,910"
07/27/2020,"16,607","693,677","32,072","70,114","31,568","2,626","1,203,503"
07/28/2020,"16,892","681,857","33,753","66,687","31,677","2,635","1,241,770"
07/29/2020,"18,216","714,559","35,257","69,995","33,733","2,778","1,296,102"
07/30/2020,"17,333","717,003","33,982","68,958","34,122","2,746","1,270,172"
07/31/2020,"17,654","747,216","29,917","67,648","38,040","2,429","1,258,539"
08/01/2020,"10,685","695,946","16,087","44,405","26,261",904,"842,468"
08/02/2020,"7,431","561,396","9,874","30,502","17,885",615,"590,060"
08/03/2020,"17,594","715,550","36,945","70,779","32,884","2,955","1,272,996"
08/04/2020,"14,924","507,501","29,426","36,835","22,286","1,499","1,027,187"
08/05/2020,"18,299","740,063","38,283","58,005","26,598","2,824","1,348,202"
08/06/2020,"19,117","739,952","37,059","66,671","28,283","3,125","1,334,694"
08/07/2020,"17,502","735,101","32,170","65,969","32,882","2,741","1,283,894"
08/08/2020,"10,613","630,411","15,143","41,729","23,513",806,"833,287"
08/09/2020,"8,287","649,493","11,534","37,616","20,503",649,"662,993"
08/10/2020,"18,178","720,799","34,883","73,548","33,500","2,995","1,275,268"
08/11/2020,"18,546","716,441","36,426","72,436","33,509","3,164","1,319,814"
08/12/2020,"19,346","696,198","36,053","68,345","33,736","3,124","1,298,963"
08/13/2020,"18,608","713,144","34,723","69,223","33,822","2,971","1,291,277"
08/14/2020,"18,113","777,169","32,713","72,916","39,342","3,012","1,355,786"
08/15/2020,"11,487","699,313","15,522","46,806","27,677",974,"860,789"
08/16/2020,"7,902","537,419","8,603","29,858","18,164",529,"554,451"
08/17/2020,"17,377","701,456","34,768","74,453","35,362","3,058","1,304,485"
08/18/2020,"19,274","729,923","36,646","74,213","34,361","2,951","1,369,617"
08/19/2020,"19,915","710,695","34,181","70,104","34,377","2,783","1,292,148"
08/20/2020,"19,344","775,926","35,059","75,643","37,078","2,960","1,410,489"
